field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
190,1364,1.71357926904840724e-01,1.71357926924221887e-01,1.93811633408813577e-11
191,1365,1.69582579048268761e-01,1.69582579068430744e-01,2.01619831941002303e-11
192,1366,1.67815361501379184e-01,1.67815361520469081e-01,1.90898963303709479e-11
193,1367,1.66038275401589441e-01,1.66038275428932708e-01,2.73432665398587460e-11
194,1368,1.64271920146439182e-01,1.64271920168065855e-01,2.16266726749125837e-11
195,1369,1.62499984044877560e-01,1.62499984061254599e-01,1.63770386141237623e-11
196,1370,1.60723931151932897e-01,1.60723931157438410e-01,5.50551271238930440e-12
197,1371,1.58956496045603107e-01,1.58956496053832580e-01,8.22947265888274160e-12
198,1372,1.57191838178569687e-01,1.57191838182691473e-01,4.12178624564774054e-12
199,1373,1.55409314906407886e-01,1.55409314905641888e-01,-7.65998375840126755e-13
200,1374,1.53640490682227460e-01,1.53640490688305764e-01,6.07830452636903829e-12
201,1375,1.51871335074896974e-01,1.51871335071453839e-01,-3.44313466626999798e-12
202,1376,1.50103859574473669e-01,1.50103859574553272e-01,7.96029908656237239e-14
203,1377,1.48329134328328310e-01,1.48329134319892836e-01,-8.43547454110193939e-12
204,1378,1.46558164062121993e-01,1.46558164050350132e-01,-1.17718612635542286e-11
205,1379,1.44785976516996928e-01,1.44785976495741070e-01,-2.12558581846877814e-11
206,1380,1.43021046043822486e-01,1.43021046026403198e-01,-1.74192882340662436e-11
207,1381,1.41239730497476290e-01,1.41239730483557285e-01,-1.39190048376036657e-11
208,1382,1.39476793152807865e-01,1.39476793133072485e-01,-1.97353799968880139e-11
209,1383,1.37702601191906943e-01,1.37702601178734674e-01,-1.31722688312407854e-11
210,1384,1.35927693938204086e-01,1.35927693919543652e-01,-1.86604343088703217e-11
211,1385,1.34158387730431039e-01,1.34158387707825705e-01,-2.26053342711196592e-11
212,1386,1.32381434431910860e-01,1.32381434410215937e-01,-2.16949236353514152e-11
213,1387,1.30616094701619889e-01,1.30616094682418638e-01,-1.92012516997408511e-11
214,1388,1.28848381635052439e-01,1.28848381624271063e-01,-1.07813757921348952e-11
215,1389,1.27071987378648721e-01,1.27071987381376650e-01,2.72792899380647214e-12
216,1390,1.25300054981864833e-01,1.25300054986864223e-01,4.99938979103831116e-12
217,1391,1.23532928059558636e-01,1.23532928077676463e-01,1.81178266833725843e-11
218,1392,1.21758854370235065e-01,1.21758854394594537e-01,2.43594727722395987e-11
219,1393,1.19984285174468339e-01,1.19984285206163166e-01,3.16948273182404705e-11
220,1394,1.18216502290774600e-01,1.18216502323016975e-01,3.22423754361977899e-11
221,1395,1.16443806261967722e-01,1.16443806301058272e-01,3.90905502412053352e-11
222,1396,1.14668701031946235e-01,1.14668701075630861e-01,4.36846253615286173e-11
223,1397,1.12908049049459600e-01,1.12908049085913564e-01,3.64539648467498978e-11
224,1398,1.11125942897558005e-01,1.11125942925564047e-01,2.80060419299843488e-11
