cell_id,node_0,node_1,node_2,node_3,region_id,region_name
448,6060,5293,6343,6341,0,silica
449,6343,4726,5601,5293,0,silica
450,1482,1483,7010,7011,0,silica
451,6540,7012,6523,39,0,silica
452,6994,6995,7013,7014,0,silica
453,6582,6491,6572,6475,0,silica
454,5601,5365,6214,6341,0,silica
455,6488,6490,7012,1560,0,silica
456,7015,263,2669,2691,0,silica
457,7016,5044,5278,4978,0,silica
458,6949,6950,4950,5141,0,silica
459,6878,4951,5035,4950,0,silica
460,6930,6531,7017,6931,0,silica
461,7006,6531,37,6400,0,silica
462,6947,5067,4924,5066,0,silica
463,6980,6981,7018,7009,0,silica
464,7019,4213,4245,3892,0,silica
465,6919,6908,6907,1666,0,silica
466,6955,4357,4280,3628,0,silica
467,7020,2390,361,255,0,silica
468,6524,5239,4872,39,0,silica
469,6534,6997,1551,1643,0,silica
470,4791,6593,4806,5315,0,silica
471,7021,6586,7022,7023,0,silica
472,5334,6947,5067,5223,0,silica
473,7006,51,6400,37,0,silica
474,6949,5141,6523,5324,0,silica
475,7024,7025,7026,1479,0,silica
476,6638,7027,3665,3668,0,silica
477,6888,7028,6740,6889,0,silica
478,7020,7029,6789,6783,0,silica
479,6480,7030,7031,6888,0,silica
480,1546,1547,7032,4458,0,silica
481,6480,4998,6888,5331,0,silica
482,1640,4816,1639,5972,0,silica
483,1548,1547,7032,7033,0,silica
484,7034,4792,6694,5268,0,silica
485,1639,4816,4860,4818,0,silica
486,4455,1549,1548,7035,0,silica
487,1640,4816,5972,5605,0,silica
488,1639,4818,5972,4816,0,silica
489,7036,7037,7038,7039,0,silica
490,7040,7041,6986,7042,0,silica
491,6437,4038,6551,3582,0,silica
492,6888,6740,7043,5158,0,silica
493,7044,7045,7046,7047,0,silica
494,7038,7048,7049,7050,0,silica
495,6630,6963,7051,7052,0,silica
496,1640,7035,7032,4816,0,silica
497,7053,7054,7055,7033,0,silica
498,1637,4860,5210,5209,0,silica
499,1638,4818,5209,5978,0,silica
500,1640,5605,1641,4816,0,silica
501,7056,7057,7058,7059,0,silica
502,7060,7055,7053,7054,0,silica
503,7061,5210,1637,4860,0,silica
504,7038,7062,7063,7036,0,silica
505,7064,7065,7035,7066,0,silica
506,7038,7050,7062,7039,0,silica
507,6773,6857,6856,6557,0,silica
508,6395,4818,4819,4817,0,silica
509,5605,4816,4815,1641,0,silica
510,5605,4815,4816,4817,0,silica
511,6465,6466,6468,6577,0,silica
512,6479,4889,4863,5232,0,silica
513,7067,7068,7052,6455,0,silica
514,7038,7037,7069,7039,0,silica
515,7070,6770,7071,6591,0,silica
516,5661,4819,6139,5659,0,silica
517,5972,4817,4816,4818,0,silica
518,5972,4817,5605,4816,0,silica
519,7035,1640,1641,4816,0,silica
520,5652,5605,4815,1641,0,silica
521,7072,7073,6698,6977,0,silica
522,7074,258,7075,2394,0,silica
523,1642,4812,4814,4813,0,silica
524,7076,7077,7078,7079,0,silica
525,1642,4813,4814,4815,0,silica
526,6550,1641,4814,4816,0,silica
527,6534,4810,4812,4813,0,silica
528,6836,263,2396,7080,0,silica
529,6961,6471,6472,3642,0,silica
530,7081,7082,7083,7084,0,silica
531,7085,7086,7087,6733,0,silica
532,5640,1643,1642,4813,0,silica
533,6565,6524,6837,5220,0,silica
534,6383,4486,47,1664,0,silica
535,6045,43,1645,1652,0,silica
536,6214,43,6045,1652,0,silica
537,7088,7089,7090,190,0,silica
538,7081,7083,7082,7070,0,silica
539,6863,1538,4446,1537,0,silica
540,6662,6863,6660,7091,0,silica
541,6592,6479,4863,5232,0,silica
542,6996,6741,6995,6679,0,silica
543,7092,7093,7094,7095,0,silica
544,7096,6662,7097,7098,0,silica
545,1631,5225,1630,4934,0,silica
546,1631,1630,5610,4934,0,silica
547,7099,7047,7100,7101,0,silica
548,7032,1638,1546,4458,0,silica
549,6863,4957,5225,5288,0,silica
550,6739,7102,7103,7104,0,silica
551,7105,1621,4803,1620,0,silica
552,1632,5984,5609,5225,0,silica
553,1633,5982,1634,4994,0,silica
554,1633,4903,5982,4994,0,silica
555,6863,1631,1632,5225,0,silica
556,7106,7107,7091,7104,0,silica
557,1633,5225,5609,4903,0,silica
558,6740,5261,6679,5237,0,silica
559,7108,5225,1633,4994,0,silica
560,5609,5225,5984,4903,0,silica
561,5609,5984,5986,4903,0,silica
562,5609,6057,5982,4903,0,silica
563,7108,1542,1543,4457,0,silica
564,5609,5986,6057,4903,0,silica
565,7106,7109,1542,1541,0,silica
566,7108,6863,5225,5288,0,silica
567,7053,7061,7110,7054,0,silica
568,5983,4877,6317,5676,0,silica
569,4306,7111,7091,3587,0,silica
570,7112,3064,716,715,0,silica
571,7113,2650,6886,2672,0,silica
572,1633,5225,4903,4994,0,silica
573,7114,3657,3660,4119,0,silica
574,5982,4994,4903,5608,0,silica
575,7115,7116,7117,7118,0,silica
576,6912,7119,7120,7121,0,silica
577,7107,7122,6412,7123,0,silica
578,5981,4877,5983,5676,0,silica
579,7061,1545,1546,4433,0,silica
