field_index,source_node_id,jax_potential_V,elmer_potential_V,elmer_minus_jax_V
69,1243,6.36713444605021994e-01,6.36713444639721127e-01,3.46991324562395675e-11
70,1244,6.31392569346698962e-01,6.31392569363856793e-01,1.71578307117670192e-11
71,1245,6.26068604703148068e-01,6.26068604728447387e-01,2.52993181959482172e-11
72,1246,6.20722429851186863e-01,6.20722429865408931e-01,1.42220679677507178e-11
73,1247,6.15389741517455291e-01,6.15389741531768286e-01,1.43129952334675181e-11
74,1248,6.10059831554033205e-01,6.10059831522734131e-01,-3.12990744433250256e-11
75,1249,6.04736629599135656e-01,6.04736629597820818e-01,-1.31483712806357289e-12
76,1250,5.99391958518145529e-01,5.99391958487371368e-01,-3.07741609972822516e-11
77,1251,5.94059278615623576e-01,5.94059278624163967e-01,8.54039061692901669e-12
78,1252,5.88727764570633805e-01,5.88727764584941582e-01,1.43077771852517799e-11
79,1253,5.83398059380965561e-01,5.83398059347362108e-01,-3.36034533532370006e-11
80,1254,5.78056637523741146e-01,5.78056637508716387e-01,-1.50247592145547060e-11
81,1255,5.72721427022210294e-01,5.72721426967774505e-01,-5.44357892096059004e-11
82,1256,5.67371705581036112e-01,5.67371705540473781e-01,-4.05623312715874818e-11
83,1257,5.62055005968861487e-01,5.62055005938829844e-01,-3.00316438384129469e-11
84,1258,5.56711334005581593e-01,5.56711333986759649e-01,-1.88219440033776664e-11
85,1259,5.51361813647007537e-01,5.51361813613353680e-01,-3.36538574785549827e-11
86,1260,5.46043173485552313e-01,5.46043173447763097e-01,-3.77892162006787657e-11
87,1261,5.40704601553022024e-01,5.40704601512424832e-01,-4.05971922745607117e-11
88,1262,5.35363192166533497e-01,5.35363192150920875e-01,-1.56126223060937264e-11
89,1263,5.30032702518004606e-01,5.30032702533370870e-01,1.53662638169294041e-11
90,1264,5.19375850933226690e-01,5.19375850955812735e-01,2.25860441460667971e-11
91,1265,5.14078473592670004e-01,5.14078473650738221e-01,5.80682169015744876e-11
92,1266,5.08747799178473348e-01,5.08747799235196974e-01,5.67236257964509605e-11
93,1267,5.03422447840726095e-01,5.03422447898147940e-01,5.74218450566377214e-11
94,1268,4.98137598840703910e-01,4.98137598929078829e-01,8.83749184943383170e-11
95,1269,4.92814333026452556e-01,4.92814333096987078e-01,7.05345226670317516e-11
96,1270,4.87496090104676705e-01,4.87496090156496142e-01,5.18194376297742565e-11
97,1271,4.82175469828338310e-01,4.82175469841387316e-01,1.30490063199317774e-11
98,1272,4.76875554670423918e-01,4.76875554697141546e-01,2.67176281099068547e-11
99,1273,4.71547864107600356e-01,4.71547864113049386e-01,5.44903011601149956e-12
100,1274,4.66234354958974306e-01,4.66234354961454434e-01,2.48012721471013720e-12
101,1275,4.60924860690363369e-01,4.60924860707509820e-01,1.71464509257646114e-11
102,1276,4.55615899224410315e-01,4.55615899219247777e-01,-5.16253706450697791e-12
103,1277,4.50290693232372974e-01,4.50290693233066419e-01,6.93445301180872775e-13
104,1278,4.44988113168668264e-01,4.44988113141725039e-01,-2.69432254285106865e-11
105,1279,4.39676679460533792e-01,4.39676679425516359e-01,-3.50174333973995999e-11
106,1280,4.34359666137963230e-01,4.34359666074646378e-01,-6.33168517616411464e-11
107,1281,4.29037108895780783e-01,4.29037108842889314e-01,-5.28914689823523076e-11
108,1282,4.23745138973583735e-01,4.23745138929449316e-01,-4.41344183421676917e-11
109,1283,4.18427927156769852e-01,4.18427927099057961e-01,-5.77118908218210436e-11
110,1284,4.13106660894956790e-01,4.13106660854161201e-01,-4.07955891290612271e-11
111,1285,4.07782602591614862e-01,4.07782602535904148e-01,-5.57107138199341989e-11
112,1286,4.02477425529851440e-01,4.02477425462227867e-01,-6.76235734076158224e-11
113,1287,3.97164312491575355e-01,3.97164312426752097e-01,-6.48232578726037900e-11
114,1288,3.91847620520929196e-01,3.91847620464129520e-01,-5.67996760736377837e-11
115,1289,3.86543255626336679e-01,3.86543255594962609e-01,-3.13740700086384550e-11
116,1290,3.81220844952784521e-01,3.81220844959653249e-01,6.86872780875091848e-12
117,1291,3.75898733525107109e-01,3.75898733542336161e-01,1.72290515187967230e-11
118,1292,3.70596411236066292e-01,3.70596411290101901e-01,5.40356093203797627e-11
119,1293,3.65272172357010927e-01,3.65272172428186659e-01,7.11757319749040107e-11
120,1294,3.59959984454963411e-01,3.59959984550390799e-01,9.54273882136646989e-11
121,1295,3.54648793867235634e-01,3.54648793965517684e-01,9.82820491657321327e-11
122,1296,3.49327609972285014e-01,3.49327610089076146e-01,1.16791132320770430e-10
123,1297,3.44032431543542516e-01,3.44032431672614880e-01,1.29072363908022680e-10
124,1298,3.38699032901192520e-01,3.38699033013531048e-01,1.12338527369360008e-10
125,1299,3.33401479857526495e-01,3.33401479942164736e-01,8.46382408603574277e-11
126,1300,3.28077461285481708e-01,3.28077461338123100e-01,5.26413912460554911e-11
127,1301,3.22756292474934037e-01,3.22756292516748977e-01,4.18149403991208146e-11
