node_id,y_um,z_um,jax_temperature_K,elmer_temperature_K,elmer_minus_jax_K
984,6.00000000000000000e+00,2.47072118635578875e+00,4.50898551102321790e+02,4.50898551102648469e+02,3.26679128193063661e-10
985,6.00000000000000000e+00,2.52618008802006688e+00,4.49530345380502638e+02,4.49530345380827328e+02,3.24689608532935381e-10
986,6.00000000000000000e+00,2.59252432436104696e+00,4.48443465321250301e+02,4.48443465321573456e+02,3.23154836223693565e-10
987,6.00000000000000000e+00,2.68127516175129710e+00,4.47619300508403171e+02,4.47619300508725189e+02,3.22017967846477404e-10
988,1.00000000000000000e+01,-1.50000000000069367e+00,3.09904032191376928e+02,3.09904032191404212e+02,2.72848410531878471e-11
989,1.00000000000000000e+01,-1.00000000000412204e+00,3.19526072554155519e+02,3.19526072554209236e+02,5.37170308234635741e-11
990,1.00000000000000000e+01,-5.00000000002084111e-01,3.28784385410510367e+02,3.28784385410589323e+02,7.89555087976623327e-11
991,1.00000000000000000e+01,7.19999999998890750e-01,3.48315457944376021e+02,3.48315457944505567e+02,1.29546151583781466e-10
992,1.00000000000000000e+01,1.21999999999746578e+00,3.54460219740147863e+02,3.54460219740292132e+02,1.44268597068730742e-10
993,1.00000000000000000e+01,1.71999999999877473e+00,3.59242187401858359e+02,3.59242187402013485e+02,1.55125690071145073e-10
994,-6.28571428571428736e+00,-2.25000000000000000e+00,3.00003685672927134e+02,3.00003685672927190e+02,5.68434188608080149e-14
995,-9.14285714285714413e+00,-2.25000000000000000e+00,3.00002040389059005e+02,3.00002040389059005e+02,0.00000000000000000e+00
996,-6.85714285714286120e+00,-2.25000000000000000e+00,3.00003174184715874e+02,3.00003174184716045e+02,1.70530256582424045e-13
997,-7.42857142857143238e+00,-2.25000000000000000e+00,3.00002746278174300e+02,3.00002746278174186e+02,-1.13686837721616030e-13
998,-9.71428571428571352e+00,-2.25000000000000000e+00,3.00001967602144816e+02,3.00001967602144873e+02,5.68434188608080149e-14
999,-8.57142857142857295e+00,-2.25000000000000000e+00,3.00002190238350863e+02,3.00002190238350863e+02,0.00000000000000000e+00
1000,-8.00000000000000355e+00,-2.25000000000000000e+00,3.00002422644448473e+02,3.00002422644448529e+02,5.68434188608080149e-14
1001,-5.59999999999999964e+00,-2.25000000000000000e+00,3.00004390993200900e+02,3.00004390993201127e+02,2.27373675443232059e-13
1002,-5.00000000000000000e+00,-2.25000000000000000e+00,3.00005147482417726e+02,3.00005147482417954e+02,2.27373675443232059e-13
1003,-4.50892857142857117e+00,-2.25000000000000000e+00,3.00005902178607187e+02,3.00005902178607528e+02,3.41060513164848089e-13
1004,-4.25178571428571406e+00,-2.25000000000000000e+00,3.00006353895315954e+02,3.00006353895316238e+02,2.84217094304040074e-13
1005,-8.57142857146430015e-01,-2.25000000000000000e+00,3.00018764635584432e+02,3.00018764635584546e+02,1.13686837721616030e-13
1006,-2.85714285715476579e-01,-2.25000000000000000e+00,3.00022266300435149e+02,3.00022266300435206e+02,5.68434188608080149e-14
1007,-1.42857142857738206e+00,-2.25000000000000000e+00,3.00015689036947890e+02,3.00015689036948174e+02,2.84217094304040074e-13
1008,-3.71428571428492038e+00,-2.25000000000000000e+00,3.00007502186685485e+02,3.00007502186685770e+02,2.84217094304040074e-13
1009,-2.00000000000674483e+00,-2.25000000000000000e+00,3.00012982731182717e+02,3.00012982731183058e+02,3.41060513164848089e-13
1010,-3.14285714285753981e+00,-2.25000000000000000e+00,3.00008949743683388e+02,3.00008949743683672e+02,2.84217094304040074e-13
1011,-2.57142857143293480e+00,-2.25000000000000000e+00,3.00010797746278399e+02,3.00010797746278627e+02,2.27373675443232059e-13
1012,3.14285714285488016e+00,-2.25000000000000000e+00,3.00053790960756771e+02,3.00053790960756885e+02,1.13686837721616030e-13
1013,3.71428571428495991e+00,-2.25000000000000000e+00,3.00058846568421529e+02,3.00058846568421643e+02,1.13686837721616030e-13
